test_id,Ed_prc,Gtan/fe/fp
CD1,13.38009,0.1273306
CD1,13.40229,0.08063583
CD1,13.42496,0.09454215
CD1,13.44729,0.06671681
CD1,13.47047,0.05753896
CD1,13.49328,0.06836408
CD1,13.51518,0.04546261
CD1,13.53678,0.1025518
CD1,13.559,0.07206402
CD1,13.58247,0.06500425
CD1,13.60404,-0.001982847
CD1,13.62598,0.09816879
CD1,13.64748,0.004512449
CD1,13.66952,0.05190065
CD1,13.69228,0.01299682
CD1,13.71402,0.05860647
CD1,13.73613,0.03678524
CD1,13.75913,0.04304086
CD1,13.78181,0.04554738
CD1,13.80355,0.06289523
CD1,13.82635,0.08111673
CD1,13.84896,0.01975325
CD1,13.87184,0.06345957
CD1,13.89472,0.06925155
CD1,13.91662,0.06348876
CD1,13.94018,0.07291779
CD1,13.96311,0.03923925
CD1,13.9858,0.04224935
CD1,14.00739,0.01819472
CD1,14.02996,0.02363019
CD1,14.05315,0.03048548
CD1,14.07637,0.03182325
CD1,14.09895,0.03016368
CD1,14.12097,0.03037057
CD1,14.14342,0.02135639
CD1,14.16585,0.02635525
CD1,14.18769,-0.0142853
CD1,14.20949,0.01942172
CD1,14.23194,0.04647404
CD1,14.25437,0.02085306
CD1,14.27547,0.04443692
CD1,14.29763,0.01752449
CD1,14.32029,0.02255351
CD1,14.3436,-0.002621798
CD1,14.36505,0.04194313
CD1,14.38747,-0.01474585
CD1,14.40949,0.07176035
CD1,14.43136,0.04438694
CD1,14.45325,0.05170769
CD1,14.4755,0.04766289
CD1,14.49833,0.04168315
CD1,14.52002,0.04701466
CD1,14.54188,0.09741444
CD1,14.56278,0.0789908
CD1,14.58557,0.0781595
CD1,14.60774,0.09226317
CD1,14.63063,0.09221278
CD1,14.65433,0.07496106
CD1,14.67702,0.1042932
CD1,14.69883,0.1010019
CD1,14.72147,0.09573083
CD1,14.74428,0.09798451
CD1,14.76608,0.06726517
CD1,14.78875,0.07698817
CD1,14.81109,0.07472037
CD1,14.83337,0.03731591
CD1,14.85588,0.03311108
CD1,14.87744,0.05013977
CD1,14.90013,0.04021823
CD1,14.92267,0.04917224
CD1,14.94512,0.006723361
CD1,14.96722,0.02527185
CD1,14.99019,0.02140946
CD1,15.01283,0.07967593
CD1,15.03516,0.02651848
CD1,15.05732,0.0733701
CD1,15.07919,0.03815337
CD1,15.10176,0.04735475
CD1,15.12347,-0.002414016
CD1,15.14542,0.003194191
CD1,15.1675,0.01713897
CD1,15.19009,0.03466036
CD1,15.21181,0.02097782
CD1,15.23429,0.0400653
CD1,15.2561,0.03889525
CD1,15.27827,0.03478092
CD1,15.30092,0.06085553
CD1,15.32284,0.01723103
CD1,15.34573,0.07735491
CD1,15.36764,0.1102549
CD1,15.38966,0.09144696
CD1,15.41124,0.07030544
CD1,15.4338,0.09662741
CD1,15.45606,0.02710512
CD1,15.47878,0.09576072
CD1,15.50087,0.03723984
CD1,15.52181,0.0544573
CD1,15.54384,0.01464456
CD1,15.5663,0.008865977
CD1,15.58806,-0.03302218
CD1,15.61067,-0.01052563
CD1,15.63262,-0.04098941
CD1,15.65531,-0.1049656
CD1,15.67674,-0.03821564
CD1,15.69835,-0.08429556
CD1,15.72076,-0.002563168
CD1,15.74398,-0.06849935
CD1,15.76605,0.03033996
CD1,15.7873,-0.001024804
CD1,15.81016,0.03612154
