CD1_p_kPa,CD1_e,CD2_p_kPa,CD2_e,CD3_p_kPa,CD3_e,CD4_p_kPa,CD4_e,CD5_p_kPa,CD5_e,CD6_p_kPa,CD6_e
1.381798E+02,6.887379E-01,1.802527E+02,4.813916E-01,1.425874E+02,5.726993E-01,9.434604E+01,4.919687E-01,3.136085E+02,4.876582E-01,7.119279E+02,4.852723E-01
1.386400E+02,6.886718E-01,1.812607E+02,4.814256E-01,1.432341E+02,5.726352E-01,9.479449E+01,4.920335E-01,3.155876E+02,4.876610E-01,7.166547E+02,4.851933E-01
1.390227E+02,6.885750E-01,1.822587E+02,4.814814E-01,1.437185E+02,5.725893E-01,9.534470E+01,4.920623E-01,3.173940E+02,4.876462E-01,7.207494E+02,4.851543E-01
1.394959E+02,6.885599E-01,1.831937E+02,4.814951E-01,1.443107E+02,5.725264E-01,9.584123E+01,4.921010E-01,3.192222E+02,4.876319E-01,7.247674E+02,4.851379E-01
1.398944E+02,6.884644E-01,1.841215E+02,4.815319E-01,1.448217E+02,5.724749E-01,9.626620E+01,4.921200E-01,3.209854E+02,4.875910E-01,7.288211E+02,4.850834E-01
1.403351E+02,6.883829E-01,1.850237E+02,4.815739E-01,1.453191E+02,5.724069E-01,9.674398E+01,4.921515E-01,3.228012E+02,4.875809E-01,7.328789E+02,4.850383E-01
1.406956E+02,6.882966E-01,1.859630E+02,4.816184E-01,1.458142E+02,5.723539E-01,9.712406E+01,4.922209E-01,3.245463E+02,4.875759E-01,7.366779E+02,4.849961E-01
1.410764E+02,6.881992E-01,1.868233E+02,4.816846E-01,1.462982E+02,5.722845E-01,9.762239E+01,4.922694E-01,3.261853E+02,4.875975E-01,7.408312E+02,4.849326E-01
1.415163E+02,6.881437E-01,1.876983E+02,4.817126E-01,1.467555E+02,5.721981E-01,9.799305E+01,4.923500E-01,3.278903E+02,4.875516E-01,7.442265E+02,4.849371E-01
1.418716E+02,6.880529E-01,1.885263E+02,4.817688E-01,1.473213E+02,5.721405E-01,9.847553E+01,4.924036E-01,3.294135E+02,4.875397E-01,7.479337E+02,4.848768E-01
1.422667E+02,6.879892E-01,1.892923E+02,4.818008E-01,1.476982E+02,5.721042E-01,9.883687E+01,4.924390E-01,3.310086E+02,4.875516E-01,7.515959E+02,4.848778E-01
1.425887E+02,6.878925E-01,1.901349E+02,4.818453E-01,1.481517E+02,5.720151E-01,9.929908E+01,4.925115E-01,3.326139E+02,4.875392E-01,7.555853E+02,4.848191E-01
1.429627E+02,6.878322E-01,1.909168E+02,4.819156E-01,1.486051E+02,5.719828E-01,9.964619E+01,4.925695E-01,3.340516E+02,4.875414E-01,7.594413E+02,4.847575E-01
