Depth_m,Hegazy & Mayne (1995) - 1,Hegazy & Mayne (1995) - 2,Baldi et al. (1989) Ticino sand OCR=1,Baldi et al. (1989) Ticino sand OCR=10,Rix & Stokoe (1991) - average,Rix & Stokoe (1991) - upper bound,Rix & Stokoe (1991) - lower bound
0.43,16.69776998,45.2696173,24.95229565,31.78709932,29.30100937,43.95151405,14.65050468
0.44,16.99593664,45.94546922,25.33867578,32.28308305,29.73746395,44.60619593,14.86873198
0.45,17.369813,46.89901987,25.81012863,32.89088269,30.25808812,45.38713218,15.12904406
0.46,17.69107326,47.52480464,26.22029823,33.41839208,30.71693565,46.07540347,15.35846782
0.47,17.96456396,48.01131286,26.5751636,33.87342404,31.12010512,46.68015768,15.56005256
0.48,18.19649835,48.24943543,26.88208495,34.26562238,31.47500401,47.21250601,15.737502
0.49,18.49964933,48.65520929,27.26866925,34.76254723,31.90864713,47.8629707,15.95432357
0.5,18.71058751,48.77136947,27.55028954,35.12174493,32.23734978,48.35602466,16.11867489
0.51,18.95681715,49.04237188,27.87097826,35.53235727,32.60442465,48.90663698,16.30221233
0.52,19.16346442,49.23546812,28.14638886,35.88360901,32.9259969,49.38899535,16.46299845
0.53,19.39447076,49.62738609,28.44853016,36.27006794,33.2736918,49.9105377,16.6368459
0.54,19.65246896,50.13312049,28.78026231,36.69549186,33.65035013,50.47552519,16.82517506
0.55,19.90041451,50.58419972,29.09997565,37.1052292,34.01461177,51.02191765,17.00730588
0.56,20.17036506,51.13740651,29.44358005,37.54644731,34.40216739,51.60325108,17.20108369
0.57,20.52312222,51.99394572,29.87877807,38.10810215,34.88019503,52.32029254,17.44009751
0.58,20.87268536,52.86086541,30.30926089,38.66368887,35.3529958,53.02949371,17.6764979
0.59,21.32962477,54.17717196,30.85766155,39.37439099,35.94205177,53.91307766,17.97102589
0.6,21.85953225,55.80064457,31.48475259,40.18875343,36.60811768,54.91217652,18.30405884
0.61,22.36950549,57.3590676,32.08752886,40.97138439,37.24918325,55.87377487,18.62459162
0.62,22.98104889,59.16536956,32.79921502,41.89754986,37.99662087,56.9949313,18.99831043
0.63,23.51558311,60.70705913,33.42401831,42.70966716,38.65738278,57.98607416,19.32869139
0.64,23.98032801,61.947894,33.97087794,43.41938897,39.24068583,58.86102874,19.62034291
0.65,24.43892858,63.16302113,34.50944428,44.11836106,39.81515276,59.72272913,19.90757638
0.66,24.8011789,63.94939109,34.94252388,44.67854579,40.28558804,60.42838206,20.14279402
0.67,25.12625499,64.57086451,35.33458741,45.18480744,40.71538445,61.07307667,20.35769222
0.68,25.39953601,64.79810577,35.67014783,45.61672391,41.08944936,61.63417404,20.54472468
0.69,25.62153669,64.99168258,35.94999656,45.97532268,41.40861502,62.11292252,20.70430751
0.7,25.85898037,65.28385232,36.24593706,46.35519497,41.74320764,62.61481145,20.87160382
0.71,26.04660955,65.40160929,36.48793391,46.66407023,42.02466649,63.03699974,21.01233325
0.72,26.23872207,65.53566129,36.73431979,46.9787978,42.31010935,63.46516403,21.15505468
0.73,26.4993795,65.98850715,37.05371535,47.38978215,42.66672229,64.00008343,21.33336114
0.74,26.75411492,66.44253917,37.3662316,47.79177413,43.01628596,64.52442894,21.50814298
0.75,27.03443838,66.96952662,37.70556053,48.22916558,43.39177265,65.08765898,21.69588633
0.76,27.4332479,67.95786806,38.17062969,48.83233381,43.88987541,65.83481312,21.94493771
0.77,27.81018501,68.91997013,38.61139865,49.40358326,44.36378409,66.54567614,22.18189205
0.78,28.30534119,70.22328937,39.17661717,50.13900053,44.9587103,67.43806545,22.47935515
0.79,28.77047205,71.57734896,39.70854496,50.8306792,45.52055135,68.28082702,22.76027567
0.8,29.25527848,72.87835402,40.25986895,51.54808137,46.10071041,69.15106561,23.0503552
0.81,29.69034563,73.97184653,40.75747771,52.19476863,46.62803976,69.94205964,23.31401988
0.82,30.104407,74.89061062,41.23192386,52.81101278,47.13237936,70.69856905,23.56618968
0.83,30.40290026,75.37364161,41.58435423,53.26635138,47.51778367,71.2766755,23.75889183
0.84,30.67757254,75.79306352,41.91129949,53.68812722,47.87814548,71.81721821,23.93907274
0.85,30.90345958,76.01973939,42.18675541,54.04201715,48.18823989,72.28235983,24.09411994
0.86,31.06978415,75.95535311,42.39958431,54.31331886,48.4372694,72.65590411,24.2186347
0.87,31.21233685,75.91987258,42.58725915,54.55148441,48.66161774,72.99242661,24.33080887
0.88,31.34000784,75.7462761,42.75908695,54.76879719,48.8703178,73.3054767,24.4351589
0.89,31.40499222,75.44261176,42.86511263,54.8993489,49.01480927,73.52221391,24.50740464
0.9,31.49038689,75.20116408,42.99217527,55.05772277,49.17946457,73.76919686,24.58973229
0.91,31.57983638,75.01256758,43.12319292,55.22137674,49.34769731,74.02154597,24.67384866
0.92,31.66984074,74.88155156,43.25451297,55.38549022,49.51596302,74.27394453,24.75798151
0.93,31.77183849,74.77499668,43.39810769,55.56585293,49.69592205,74.54388308,24.84796103
0.94,31.90585366,74.79542128,43.57493169,55.79009814,49.90799348,74.86199022,24.95399674
0.95,32.04454525,74.85475986,43.75638542,56.0204998,50.12435152,75.18652729,25.06217576
0.96,32.24221736,75.16831038,43.99923622,56.33192524,50.40028512,75.60042768,25.20014256
0.97,32.42286026,75.42837781,44.22399518,56.61953554,50.6583965,75.98759474,25.32919825
0.98,32.63629187,75.78589666,44.48270399,56.95196795,50.94936355,76.42404532,25.47468177
0.99,32.93378081,76.46475438,44.82874723,57.39963932,51.32514088,76.98771131,25.66257044
1,33.32048756,77.42936858,45.26715187,57.96920853,51.79051828,77.68577742,25.89525914
1.01,33.7517837,78.56812232,45.75106549,58.59890653,52.29978377,78.44967566,26.14989189
1.02,34.15139904,79.44707821,46.20119212,59.18411845,52.77583899,79.16375849,26.3879195
1.03,34.59367512,80.66476029,46.69460889,59.82655266,53.29355013,79.9403252,26.64677507
1.04,35.0500323,81.83319105,47.20156055,60.48695738,53.82397163,80.73595744,26.91198581
1.05,35.43447693,82.59155236,47.63345577,61.04837296,54.28126517,81.42189776,27.14063259
1.06,35.77757971,83.30636394,48.02213355,61.55279996,54.6964045,82.04460675,27.34820225
1.07,36.04145618,83.68444981,48.32889215,61.94911502,55.03199547,82.5479932,27.51599773
1.08,36.26287576,83.86947323,48.59171389,62.28745659,55.32486423,82.98729635,27.66243212
1.09,36.38466873,83.73440315,48.75203791,62.49049178,55.51834232,83.27751348,27.75917116
1.1,36.5686942,83.92375187,48.97599177,62.77758855,55.77323686,83.65985528,27.88661843
1.11,36.7312553,83.98876957,49.17769239,63.03534023,56.00641554,84.00962331,28.00320777
1.12,36.87631157,84.02897355,49.36122314,63.26913901,56.22183054,84.33274581,28.11091527
1.13,37.03511665,84.13143655,49.55863143,63.5213006,56.45051142,84.67576713,28.22525571
1.14,37.21073663,84.35371537,49.77304789,63.79595731,56.69549479,85.04324219,28.3477474
1.15,37.45017001,84.75584994,50.05256733,64.15661364,57.00334894,85.50502342,28.50167447
1.16,37.76075911,85.44342736,50.40453948,64.61298436,57.3811535,86.07173025,28.69057675
1.17,38.09628849,86.19557988,50.78152237,65.10243626,57.78293937,86.67440906,28.89146969
1.18,38.45482586,87.00663196,51.18144509,65.62224304,58.20667208,87.31000812,29.10333604
1.19,38.78456702,87.7560159,51.55148032,66.10263182,58.60127328,87.90190992,29.30063664
1.2,39.09616713,88.44193057,51.90258413,66.55806479,58.97736683,88.46605025,29.48868342
1.21,39.44789099,89.22681151,52.29399196,67.06679431,59.39217059,89.08825589,29.6960853
1.22,39.70571812,89.69435059,52.58964047,67.44905839,59.71431851,89.57147776,29.85715925
1.23,39.95728126,90.14022581,52.87862409,67.82255528,60.02986654,90.04479981,30.01493327
1.24,40.19322215,90.45621878,53.15148378,68.17478499,60.32969346,90.4945402,30.16484673
1.25,40.33130586,90.45432074,53.3250058,68.39579242,60.53351707,90.80027561,30.26675854
1.26,40.46322804,90.42741603,53.49210611,68.60834925,60.73099352,91.09649028,30.36549676
1.27,40.55520328,90.18830209,53.61858323,68.7672682,60.88910776,91.33366164,30.44455388
1.28,40.64508734,89.93856882,53.74276754,68.92319551,61.04484729,91.56727094,30.52242365
1.29,40.708716,89.69411595,53.84018654,69.04380131,61.17457618,91.76186427,30.58728809
1.3,40.76600403,89.48606566,53.93100174,69.15572414,61.29775347,91.94663021,30.64887674
1.31,40.8336706,89.31321423,54.03215456,69.28134267,61.43074955,92.14612432,30.71537477
1.32,40.94196611,89.29056701,54.17431221,69.46116003,61.60322147,92.40483221,30.80161074
1.33,41.01577671,89.15558621,54.28135822,69.59463553,61.74160203,92.61240304,30.87080101
1.34,41.14704783,89.23026198,54.44647853,69.8048475,61.93598982,92.90398473,30.96799491
1.35,41.30791373,89.44360393,54.6414198,70.05447512,62.15908359,93.23862538,31.07954179
1.36,41.48367452,89.71616678,54.85126899,70.3238212,62.39646586,93.59469879,31.19823293
