test_id,p_kPa,void_ratio
CD1,174.1936,0.6802982
CD1,174.3025,0.6802854
CD1,174.293,0.680272
CD1,174.3957,0.6802633
CD1,174.3356,0.6802922
CD1,174.4705,0.680265
CD1,174.4636,0.6802429
CD1,174.5273,0.6802398
CD1,174.6282,0.6802195
CD1,174.6177,0.6802258
CD1,174.703,0.6802348
CD1,174.7198,0.6802163
CD1,174.8098,0.6802287
CD1,174.8033,0.6802038
CD1,174.927,0.6801908
CD1,174.879,0.6802019
CD1,175.0328,0.6801885
CD1,174.9621,0.6801584
CD1,175.0735,0.6801591
CD1,175.0225,0.6801586
CD1,175.0663,0.6801613
CD1,175.1149,0.6801631
CD1,175.1569,0.6801688
CD1,175.2114,0.6801569
CD1,175.2614,0.6801514
CD1,175.3172,0.6801351
CD1,175.3536,0.6801121
CD1,175.4101,0.6801078
CD1,175.4656,0.6801055
CD1,175.47,0.6801064
CD1,175.5246,0.6800905
CD1,175.649,0.6800887
CD1,175.5956,0.6800926
CD1,175.6955,0.6800765
CD1,175.6778,0.680079
CD1,175.7456,0.6800864
CD1,175.7914,0.6800829
CD1,175.8084,0.6800629
CD1,175.8223,0.6800663
CD1,175.9383,0.6800724
CD1,175.9742,0.6800499
CD1,176.0042,0.6800563
CD1,176.0651,0.680059
CD1,176.0751,0.6800351
CD1,176.1167,0.6800215
CD1,176.1131,0.680025
CD1,176.2379,0.6800549
CD1,176.2333,0.6800209
CD1,176.3051,0.6800273
CD1,176.2521,0.6800421
CD1,176.3744,0.680029
CD1,176.4234,0.680006
CD1,176.5375,0.6800207
CD1,176.4682,0.6800495
CD1,176.5789,0.6799911
CD1,176.5478,0.6799678
CD1,176.5501,0.6799829
CD1,176.6379,0.6799908
CD1,176.6987,0.6800323
CD1,176.6794,0.6800031
CD1,176.7141,0.6799774
CD1,176.8143,0.6799989
CD1,176.7755,0.679961
CD1,176.8317,0.6799932
CD1,176.6815,0.6800095
CD1,176.8859,0.679971
CD1,176.8713,0.6799633
CD1,176.991,0.6799694
CD1,176.9367,0.6799833
CD1,176.9783,0.6799822
CD1,177.006,0.6799599
CD1,177.0176,0.6799703
CD1,177.1062,0.6799552
CD1,177.139,0.6799287
CD1,177.1991,0.679977
CD1,177.1526,0.6799607
CD1,177.1752,0.6799576
CD1,177.1898,0.6799573
CD1,177.227,0.6799461
CD1,177.1927,0.6799553
CD1,177.2666,0.679933
CD1,177.2809,0.6799351
CD1,177.303,0.6799345
CD1,177.3115,0.679921
CD1,177.3596,0.6799174
CD1,177.461,0.6799219
CD1,177.4759,0.6799085
CD1,177.5185,0.6799511
CD1,177.5025,0.6799113
CD1,177.6193,0.6799105
CD1,177.5407,0.6799232
CD1,177.6804,0.6799294
CD1,177.6266,0.6799029
CD1,177.6783,0.6799239
CD1,177.599,0.6799048
CD1,177.7188,0.6798996
CD1,177.7622,0.6799075
CD1,177.7896,0.679895
CD1,177.7841,0.679897
CD1,177.8192,0.6798921
CD1,177.9072,0.6798964
CD1,177.8745,0.679888
CD1,178.0271,0.6798818
CD1,177.9399,0.679884
CD1,177.9844,0.6798799
CD1,178.0202,0.6798927
CD1,178.127,0.6798761
CD1,178.0332,0.6798674
CD1,178.1061,0.6798969
CD1,178.1459,0.6798952
CD1,178.1172,0.6798709
CD1,178.2417,0.6798677
CD1,178.1827,0.6798896
CD1,178.2062,0.6798595
CD1,178.2002,0.6798808
CD1,178.3217,0.6798636
CD1,178.3269,0.6798796
CD1,178.3965,0.6798905
CD1,178.3064,0.6798674
CD1,178.4607,0.6798777
CD1,178.4824,0.6798794
CD1,178.498,0.6798766
CD1,178.5498,0.6798837
CD1,178.5084,0.6798839
CD1,178.4926,0.6798659
CD1,178.4823,0.6798706
CD1,178.5655,0.679887
CD1,178.6032,0.6798553
CD1,178.6747,0.6798554
CD1,178.6475,0.6798582
CD1,178.7542,0.679869
CD1,178.7474,0.6798766
CD1,178.7736,0.6798767
CD1,178.7506,0.6798663
CD1,178.8362,0.6798771
CD1,178.8174,0.6798703
CD1,178.865,0.6798687
CD1,178.8162,0.6798795
CD1,178.9811,0.6798615
CD1,178.988,0.6798631
CD1,179.0211,0.6798718
CD1,178.9592,0.679866
CD1,178.9866,0.6798618
CD1,179.0133,0.6798831
CD1,179.0517,0.6798822
CD1,179.07,0.6798682
CD1,179.0934,0.6798545
CD1,179.1571,0.6798817
CD1,179.0971,0.6798752
CD1,179.1761,0.679864
CD1,179.1965,0.6798502
CD1,179.3499,0.6798662
CD1,179.2857,0.6798745
CD1,179.3351,0.6798952
CD1,179.253,0.6798784
CD1,179.346,0.6798881
CD1,179.3547,0.6798743
CD1,179.4576,0.6798835
CD1,179.3937,0.6798973
CD1,179.4357,0.6798862
CD1,179.3433,0.6798942
CD1,179.4473,0.679877
CD1,179.5399,0.6798969
CD1,179.5083,0.6798772
CD1,179.5856,0.6798919
CD1,179.5639,0.6798834
CD1,179.6051,0.6798905
CD1,179.5495,0.6798895
CD1,179.637,0.6798994
CD1,179.642,0.6798913
CD1,179.6995,0.6799046
CD1,179.6571,0.6798996
CD1,179.6989,0.6799077
CD1,179.7887,0.6799148
CD1,179.7391,0.679901
CD1,179.7509,0.6799062
CD1,179.7742,0.6799143
CD1,179.8737,0.6799013
CD1,179.9483,0.6799032
CD1,179.9205,0.6799247
CD1,179.9356,0.6799334
CD1,180.0573,0.6799321
CD1,179.9729,0.6799716
CD1,180.0529,0.6799459
CD1,180.0049,0.6799218
CD1,180.0646,0.6799425
CD1,180.0015,0.6799567
CD1,180.1195,0.6799466
CD1,180.1201,0.679962
CD1,180.2015,0.6799721
CD1,180.1,0.6799506
CD1,180.0605,0.6799801
CD1,180.0082,0.6799546
CD1,180.152,0.6799528
CD1,180.1951,0.6799734
CD1,180.1817,0.6799751
CD1,180.2282,0.6799789
CD1,180.2854,0.6799684
CD1,180.3439,0.6799847
CD1,180.3272,0.6799794
CD1,180.3096,0.6799903
CD1,180.2085,0.6800014
CD1,180.3378,0.6799974
CD1,180.3258,0.6799788
CD1,180.4244,0.6800022
CD1,180.3833,0.6800179
CD1,180.4049,0.6799954
CD1,180.3735,0.67999
CD1,180.4486,0.6800021
CD1,180.4377,0.6800255
CD1,180.4711,0.68003
CD1,180.5472,0.6800214
CD1,180.549,0.6800365
CD1,180.5445,0.6800236
CD1,180.5416,0.6800142
CD1,180.5368,0.6800201
CD1,180.5544,0.6800338
CD1,180.627,0.6800317
CD1,180.642,0.6800462
CD1,180.5565,0.6800393
CD1,180.5782,0.6800692
CD1,180.6795,0.6800593
CD1,180.61,0.6800699
CD1,180.656,0.6800678
CD1,180.6647,0.6800725
CD1,180.7997,0.6800964
CD1,180.7193,0.6800749
CD1,180.8082,0.6800895
CD1,180.7465,0.6800883
CD1,180.8872,0.6801121
CD1,180.8222,0.6801235
CD1,180.918,0.680116
CD1,180.8934,0.6801109
CD1,180.9164,0.680115
CD1,180.8623,0.6801385
CD1,180.974,0.6801387
CD1,180.9055,0.6801551
CD1,180.922,0.6801496
CD1,180.9227,0.6801537
CD1,180.8575,0.6801539
CD1,180.9115,0.6801618
CD1,180.9453,0.6801375
CD1,181.0678,0.6801556
CD1,180.9707,0.6801566
CD1,180.9942,0.6801642
CD1,180.9895,0.6801816
CD1,180.9939,0.6801815
CD1,180.9863,0.6801878
CD1,180.9776,0.6801745
CD1,181.0704,0.680203
CD1,181.1385,0.6802028
CD1,181.0876,0.6802097
CD1,181.1461,0.6802189
CD1,181.1088,0.6802012
CD1,181.1289,0.6802126
CD1,181.1981,0.6802128
CD1,181.1911,0.6802056
CD1,181.2595,0.6802356
CD1,181.2264,0.6802348
CD1,181.287,0.6802522
CD1,181.221,0.6802579
CD1,181.337,0.6802614
CD1,181.2865,0.6802646
CD1,181.3565,0.6802671
CD1,181.2705,0.6802686
CD1,181.2926,0.6802649
CD1,181.3448,0.6802784
CD1,181.3808,0.6802714
CD1,181.3593,0.6803081
CD1,181.3839,0.6802981
CD1,181.3888,0.6803105
CD1,181.4214,0.6803255
CD1,181.4408,0.6803291
CD1,181.4755,0.6803191
CD1,181.609,0.6803174
CD1,181.5725,0.6803355
CD1,181.6117,0.6803417
CD1,181.517,0.6803688
CD1,181.6535,0.6803559
CD1,181.6154,0.6803842
CD1,181.5733,0.6803706
CD1,181.5621,0.6803875
CD1,181.6815,0.6803633
CD1,181.6703,0.6803934
CD1,181.7188,0.6804356
CD1,181.6734,0.6803942
CD1,181.7328,0.6804089
CD1,181.6559,0.6804249
CD1,181.7321,0.6804121
CD1,181.7637,0.6804314
CD1,181.7809,0.6804684
CD1,181.8328,0.6804415
CD1,181.7744,0.6804506
CD1,181.8214,0.6804621
CD1,181.766,0.6804529
CD1,181.8576,0.6804592
CD1,181.893,0.6804793
CD1,181.9466,0.6804861
CD1,181.8951,0.6804771
CD1,182.0126,0.6804812
CD1,181.9714,0.6805158
CD1,182.0842,0.6805086
CD1,181.9805,0.6805253
CD1,182.0052,0.6805216
CD1,182.0107,0.6805384
CD1,182.1464,0.680537
CD1,182.0798,0.6805542
CD1,182.1622,0.6805591
CD1,182.0532,0.6805574
CD1,182.1467,0.6805797
CD1,182.1244,0.6805707
CD1,182.1846,0.6805603
CD1,182.2133,0.6805893
CD1,182.1781,0.6805805
CD1,182.1539,0.6805879
CD1,182.1419,0.6806047
CD1,182.2955,0.6805946
CD1,182.1724,0.6805968
CD1,182.1739,0.6806177
CD1,182.1756,0.6806274
CD1,182.2568,0.6806284
CD1,182.271,0.6806504
CD1,182.3131,0.6806491
CD1,182.2793,0.6806595
CD1,182.3006,0.6806377
CD1,182.3294,0.6806547
CD1,182.3417,0.6806562
CD1,182.3208,0.6806808
CD1,182.329,0.6806773
CD1,182.3284,0.6806776
CD1,182.4277,0.6807079
CD1,182.362,0.680708
CD1,182.4064,0.6807188
CD1,182.3213,0.68072
CD1,182.3566,0.6807105
CD1,182.4017,0.6807092
CD1,182.4151,0.6807104
CD1,182.3887,0.6807287
CD1,182.3986,0.6807389
CD1,182.3774,0.6807523
CD1,182.4866,0.6807409
CD1,182.3302,0.6807372
CD1,182.4509,0.6807662
