CD1_eax_prc,CD1_evol_prc,CD1_q_kPa,CD2_eax_prc,CD2_evol_prc,CD2_q_kPa,CD3_eax_prc,CD3_evol_prc,CD3_q_kPa,CD4_eax_prc,CD4_evol_prc,CD4_q_kPa,CD5_eax_prc,CD5_evol_prc,CD5_q_kPa,CD6_eax_prc,CD6_evol_prc,CD6_q_kPa
4.090702E-01,2.180228E-01,1.059251E+02,4.026902E-01,1.187850E-01,2.211078E+02,3.810426E-01,1.872151E-01,1.172895E+02,3.952622E-01,8.744940E-02,1.230919E+02,3.305258E-01,1.458500E-01,3.029293E+02,3.333502E-01,1.630058E-01,5.581694E+02
4.223225E-01,2.233138E-01,1.071856E+02,4.148783E-01,1.174763E-01,2.245311E+02,3.917646E-01,1.904608E-01,1.190999E+02,4.062167E-01,8.497765E-02,1.246884E+02,3.412557E-01,1.467135E-01,3.097205E+02,3.356821E-01,1.665826E-01,5.706088E+02
4.347532E-01,2.268583E-01,1.086832E+02,4.270921E-01,1.162184E-01,2.280632E+02,4.042749E-01,1.945649E-01,1.209345E+02,4.202628E-01,8.192741E-02,1.266694E+02,3.523814E-01,1.472435E-01,3.159635E+02,3.520334E-01,1.720474E-01,5.844865E+02
4.478423E-01,2.325928E-01,1.103697E+02,4.383846E-01,1.141655E-01,2.312854E+02,4.172149E-01,1.987389E-01,1.228837E+02,4.345532E-01,7.830709E-02,1.281438E+02,3.681816E-01,1.522242E-01,3.224276E+02,3.654204E-01,1.731966E-01,5.983114E+02
4.627869E-01,2.392510E-01,1.115207E+02,4.518959E-01,1.115799E-01,2.346412E+02,4.332491E-01,2.019782E-01,1.244929E+02,4.478002E-01,7.560394E-02,1.299474E+02,3.785272E-01,1.518230E-01,3.288074E+02,3.756124E-01,1.780666E-01,6.112658E+02
4.738878E-01,2.450006E-01,1.131982E+02,4.647643E-01,1.106179E-01,2.376796E+02,4.412335E-01,2.054311E-01,1.263779E+02,4.577009E-01,7.240645E-02,1.313976E+02,3.906402E-01,1.539111E-01,3.347466E+02,3.797900E-01,1.817429E-01,6.237156E+02
4.868616E-01,2.517488E-01,1.145395E+02,4.775104E-01,1.084572E-01,2.407580E+02,4.544124E-01,2.094379E-01,1.277623E+02,4.726450E-01,6.907642E-02,1.330381E+02,4.004433E-01,1.571710E-01,3.408256E+02,3.968173E-01,1.833112E-01,6.357836E+02
4.992573E-01,2.556532E-01,1.159199E+02,4.892908E-01,1.061655E-01,2.437820E+02,4.693014E-01,2.135019E-01,1.297023E+02,4.845428E-01,6.473667E-02,1.343835E+02,4.152911E-01,1.569789E-01,3.467627E+02,4.029663E-01,1.886214E-01,6.499640E+02
5.127683E-01,2.613685E-01,1.170680E+02,5.018704E-01,1.023980E-01,2.467760E+02,4.815414E-01,2.164135E-01,1.311554E+02,4.970769E-01,6.280975E-02,1.360341E+02,4.262945E-01,1.579712E-01,3.521820E+02,4.180991E-01,1.912437E-01,6.622481E+02
5.269670E-01,2.622643E-01,1.184876E+02,5.168458E-01,1.014762E-01,2.495812E+02,4.949975E-01,2.204077E-01,1.329322E+02,5.092236E-01,6.021600E-02,1.375237E+02,4.407023E-01,1.589298E-01,3.576666E+02,4.313335E-01,1.923485E-01,6.743023E+02
5.387357E-01,2.679024E-01,1.196833E+02,5.285727E-01,9.899842E-02,2.523644E+02,5.031136E-01,2.236724E-01,1.344652E+02,5.241642E-01,5.893910E-02,1.387986E+02,4.482525E-01,1.616746E-01,3.629563E+02,4.371157E-01,1.960100E-01,6.864632E+02
5.501676E-01,2.727155E-01,1.210053E+02,5.417602E-01,9.616542E-02,2.550710E+02,5.164591E-01,2.279901E-01,1.359572E+02,5.372333E-01,5.683338E-02,1.402319E+02,4.605110E-01,1.623586E-01,3.684035E+02,4.537825E-01,1.990386E-01,6.986367E+02
5.650445E-01,2.778158E-01,1.220869E+02,5.514313E-01,9.316541E-02,2.578891E+02,5.272988E-01,2.313521E-01,1.374427E+02,5.504920E-01,5.218439E-02,1.413722E+02,4.752413E-01,1.626943E-01,3.736390E+02,4.603894E-01,2.018747E-01,7.100337E+02
5.775358E-01,2.835653E-01,1.232293E+02,5.632479E-01,8.870027E-02,2.604699E+02,5.506592E-01,2.357522E-01,1.388945E+02,5.614278E-01,4.893641E-02,1.428672E+02,4.849454E-01,1.612438E-01,3.785558E+02,4.747552E-01,2.061436E-01,7.224935E+02
5.914210E-01,2.868483E-01,1.245488E+02,5.791296E-01,8.681019E-02,2.630950E+02,5.626894E-01,2.412371E-01,1.402665E+02,5.733408E-01,4.353853E-02,1.439792E+02,5.012858E-01,1.643243E-01,3.836708E+02,4.806156E-01,2.058409E-01,7.326796E+02
6.044064E-01,2.922100E-01,1.256147E+02,5.902764E-01,8.302370E-02,2.655790E+02,5.737283E-01,2.448951E-01,1.419640E+02,5.873160E-01,3.994345E-02,1.454266E+02,5.135047E-01,1.651224E-01,3.882404E+02,4.990910E-01,2.098897E-01,7.438012E+02
6.181739E-01,2.959709E-01,1.268000E+02,6.054650E-01,8.086090E-02,2.678770E+02,5.884997E-01,2.471935E-01,1.430947E+02,5.980960E-01,3.757478E-02,1.465106E+02,5.239144E-01,1.643243E-01,3.930258E+02,5.068369E-01,2.098262E-01,7.547878E+02
6.303132E-01,3.016862E-01,1.277662E+02,6.183579E-01,7.786089E-02,2.704047E+02,5.900176E-01,2.528517E-01,1.444552E+02,6.112826E-01,3.272174E-02,1.478973E+02,5.378355E-01,1.651541E-01,3.978416E+02,5.247453E-01,2.137713E-01,7.667558E+02
