CD1_Ed_prc,CD1_Gnorm_fe_fp_MPa,CD2_Ed_prc,CD2_Gnorm_fe_fp_MPa,CD3_Ed_prc,CD3_Gnorm_fe_fp_MPa,CD4_Ed_prc,CD4_Gnorm_fe_fp_MPa,CD5_Ed_prc,CD5_Gnorm_fe_fp_MPa,CD6_Ed_prc,CD6_Gnorm_fe_fp_MPa,CU1_Ed_prc,CU1_Gnorm_fe_fp_MPa,CU2_Ed_prc,CU2_Gnorm_fe_fp_MPa,CU3_Ed_prc,CU3_Gnorm_fe_fp_MPa,CU4_Ed_prc,CU4_Gnorm_fe_fp_MPa,CU5_Ed_prc,CU5_Gnorm_fe_fp_MPa,CU6_Ed_prc,CU6_Gnorm_fe_fp_MPa,CU7_Ed_prc,CU7_Gnorm_fe_fp_MPa
4.426153E-01,3.958318E+00,4.693172E-01,4.991029E+00,4.089780E-01,3.743028E+00,4.642473E-01,3.360684E+00,3.470267E-01,7.948438E+00,3.646093E-01,1.159325E+01,5.581459E-01,6.711307E-01,5.634552E-01,-3.132520E-01,5.120431E-01,1.183996E+00,5.818346E-01,2.990382E+00,5.988776E-01,3.800420E-01,2.541942E-01,6.725872E+00,5.173925E-01,4.250932E-01
4.614404E-01,3.960584E+00,4.899233E-01,4.700361E+00,4.278478E-01,3.673858E+00,4.870733E-01,3.218070E+00,3.655519E-01,8.530429E+00,3.794775E-01,1.138934E+01,5.809686E-01,5.109030E-01,5.857569E-01,-2.802035E-01,5.339912E-01,9.824161E-01,6.110901E-01,2.963618E+00,6.222347E-01,2.326128E-01,2.638788E-01,6.588188E+00,5.457189E-01,3.891587E-01
4.793573E-01,3.875208E+00,5.110323E-01,4.568897E+00,4.465401E-01,3.508200E+00,5.095668E-01,3.272694E+00,3.824049E-01,7.302265E+00,3.946685E-01,1.114508E+01,6.043252E-01,4.301648E-01,6.079146E-01,-3.556560E-01,5.576353E-01,8.630630E-01,6.403723E-01,3.080691E+00,6.448773E-01,2.636860E-01,2.736921E-01,5.615938E+00,5.735828E-01,5.236864E-01
4.974056E-01,3.519487E+00,5.321831E-01,4.383698E+00,4.654572E-01,3.428552E+00,5.311089E-01,2.940429E+00,4.015709E-01,7.335955E+00,4.099769E-01,1.166423E+01,6.260706E-01,3.432163E-01,6.305395E-01,-3.306508E-01,5.814894E-01,7.938929E-01,6.689280E-01,3.088291E+00,6.675360E-01,1.529969E-01,2.841106E-01,5.286513E+00,6.019216E-01,3.085730E-01
5.164843E-01,3.378884E+00,5.534030E-01,4.242170E+00,4.840207E-01,3.318696E+00,5.538618E-01,2.848898E+00,4.200840E-01,7.167657E+00,4.242958E-01,1.019050E+01,6.476364E-01,3.667938E-01,6.529806E-01,-3.674705E-01,6.050219E-01,7.896755E-01,6.967373E-01,3.242663E+00,6.904781E-01,1.444978E-01,2.946004E-01,5.056132E+00,6.297194E-01,3.255911E-01
5.358787E-01,3.314446E+00,5.748016E-01,4.009610E+00,5.028755E-01,3.166587E+00,5.770778E-01,2.704003E+00,4.384502E-01,6.380436E+00,4.405046E-01,1.052985E+01,6.706608E-01,2.275189E-01,6.753137E-01,-3.494023E-01,6.261677E-01,5.972559E-01,7.237473E-01,3.307453E+00,7.119674E-01,1.647518E-01,3.050393E-01,4.620146E+00,6.581145E-01,3.274523E-01
5.551450E-01,3.247789E+00,5.964849E-01,3.878603E+00,5.221397E-01,3.005498E+00,6.002317E-01,2.649098E+00,4.584470E-01,6.314844E+00,4.559935E-01,1.018068E+01,6.945471E-01,2.830813E-01,6.980919E-01,-4.041473E-01,6.490354E-01,6.398270E-01,7.502137E-01,3.348841E+00,7.346899E-01,5.574514E-02,3.156005E-01,4.321350E+00,6.875955E-01,3.069895E-01
5.740259E-01,3.132838E+00,6.184056E-01,3.726926E+00,5.418920E-01,3.031914E+00,6.233715E-01,2.531035E+00,4.781048E-01,5.863180E+00,4.718084E-01,1.008595E+01,7.166970E-01,1.490176E-01,7.209516E-01,-4.014816E-01,6.688481E-01,5.146165E-01,7.762674E-01,3.532496E+00,7.566017E-01,1.176291E-01,3.264447E-01,4.062600E+00,7.168602E-01,3.992844E-01
5.933100E-01,3.075727E+00,6.403859E-01,3.580247E+00,5.609208E-01,2.951376E+00,6.464183E-01,2.389615E+00,4.986695E-01,6.239372E+00,4.875143E-01,9.491351E+00,7.389755E-01,1.586089E-01,7.435704E-01,-4.153056E-01,6.900614E-01,3.747392E-01,8.008865E-01,3.657902E+00,7.784338E-01,-2.873602E-02,3.372732E-01,3.871680E+00,7.451645E-01,3.252823E-01
6.123750E-01,3.061327E+00,6.626369E-01,3.461896E+00,5.799411E-01,2.824017E+00,6.704430E-01,2.346248E+00,5.174617E-01,5.897503E+00,5.039330E-01,1.008688E+01,7.620036E-01,1.722536E-01,7.661832E-01,-3.986384E-01,7.138551E-01,3.432329E-01,8.260861E-01,3.918974E+00,7.993831E-01,1.074866E-01,3.480302E-01,3.617393E+00,7.741553E-01,3.694078E-01
6.313424E-01,2.902616E+00,6.848855E-01,3.314220E+00,5.995903E-01,2.722570E+00,6.939608E-01,2.235819E+00,5.368038E-01,5.791141E+00,5.192667E-01,9.032221E+00,7.839952E-01,5.232280E-02,7.887266E-01,-3.638267E-01,7.368648E-01,2.664784E-01,8.492958E-01,3.969455E+00,8.227274E-01,-4.479656E-02,3.590687E-01,3.307760E+00,8.031552E-01,1.794018E-01
6.506517E-01,2.758734E+00,7.075972E-01,3.215507E+00,6.192943E-01,2.644161E+00,7.177420E-01,2.224358E+00,5.559584E-01,4.972552E+00,5.361212E-01,8.683531E+00,8.071800E-01,8.103089E-02,8.113724E-01,-4.666875E-01,7.624277E-01,2.223869E-01,8.719717E-01,4.145782E+00,8.446237E-01,-2.065127E-02,3.697312E-01,2.921842E+00,8.320859E-01,3.256757E-01
6.705044E-01,2.681805E+00,7.302516E-01,3.077038E+00,6.390660E-01,2.714642E+00,7.412220E-01,2.086091E+00,5.775761E-01,5.343770E+00,5.532833E-01,9.141901E+00,8.296056E-01,9.400222E-03,8.342660E-01,-3.671928E-01,7.834575E-01,2.359970E-01,8.937789E-01,4.276533E+00,8.661363E-01,-7.069507E-02,3.814819E-01,2.745657E+00,8.603451E-01,3.588150E-01
6.900833E-01,2.728948E+00,7.531974E-01,2.964180E+00,6.581044E-01,2.604946E+00,7.651945E-01,2.029603E+00,5.970534E-01,5.134585E+00,5.693505E-01,7.863886E+00,8.520155E-01,2.883206E-02,8.574224E-01,-4.189622E-01,8.059380E-01,6.618218E-02,9.150714E-01,4.337909E+00,8.882216E-01,-2.653629E-02,3.928452E-01,2.815372E+00,8.884786E-01,3.701511E-01
7.093746E-01,2.597016E+00,7.764044E-01,2.929772E+00,6.775354E-01,2.578402E+00,7.895122E-01,1.918176E+00,6.168057E-01,4.873673E+00,5.879322E-01,8.380488E+00,8.749406E-01,-9.609122E-02,8.806733E-01,-4.127226E-01,8.298262E-01,9.575528E-02,9.358833E-01,4.232405E+00,9.094778E-01,-7.558722E-03,4.041851E-01,2.378853E+00,9.166907E-01,3.445980E-01
7.289996E-01,2.500461E+00,7.992716E-01,2.830616E+00,6.967198E-01,2.282456E+00,8.137858E-01,1.964836E+00,6.371936E-01,4.892543E+00,6.049780E-01,8.269627E+00,8.972097E-01,-6.760600E-02,9.037236E-01,-4.466695E-01,8.542740E-01,7.392596E-02,9.570673E-01,4.549111E+00,9.326932E-01,-6.584560E-02,4.162855E-01,1.976654E+00,9.451842E-01,3.490218E-01
7.485203E-01,2.527420E+00,8.223688E-01,2.709126E+00,7.176961E-01,2.335897E+00,8.374568E-01,1.873839E+00,6.568970E-01,4.573716E+00,6.220131E-01,8.280873E+00,9.199845E-01,-1.409038E-01,9.274402E-01,-4.008903E-01,8.768172E-01,-9.789463E-03,9.774625E-01,4.620726E+00,9.541240E-01,-6.170845E-02,4.293101E-01,1.747031E+00,9.713789E-01,4.885943E-01
