test_id,eax_prc,evol_prc,q_kPa
CD1,4.339213,0.7585122,224.8864
CD1,4.353091,0.7584715,225.2206
CD1,4.364071,0.7584993,225.0674
CD1,4.376775,0.7583407,225.199
CD1,4.391052,0.7582315,225.3448
CD1,4.405215,0.7578972,225.4707
CD1,4.415158,0.7586022,225.6342
CD1,4.428638,0.7589236,225.7843
CD1,4.441349,0.7598858,225.9515
CD1,4.454652,0.7612445,226.0609
CD1,4.467904,0.7614995,226.2302
CD1,4.478941,0.7616366,226.3968
CD1,4.492057,0.7615852,226.41
CD1,4.504342,0.7625195,226.5739
CD1,4.515531,0.762631,226.9471
CD1,4.530935,0.7623952,226.7868
CD1,4.541221,0.763351,227.0866
CD1,4.555288,0.763201,227.0335
CD1,4.568355,0.7627617,227.2368
CD1,4.578737,0.7629717,227.3742
CD1,4.595207,0.7641546,227.4252
CD1,4.60846,0.7639532,227.467
CD1,4.619682,0.7635931,227.815
CD1,4.63256,0.7649196,227.9226
CD1,4.6454,0.7645403,228.0127
CD1,4.656312,0.7643839,228.1953
CD1,4.669883,0.7657961,228.2253
CD1,4.682751,0.7665954,228.35
CD1,4.696075,0.7663919,228.3393
CD1,4.708122,0.7646261,228.7136
CD1,4.721413,0.766634,228.6998
CD1,4.739474,0.7662547,228.9154
CD1,4.747106,0.7653782,228.7564
CD1,4.758391,0.7661561,229.1231
CD1,4.764704,0.7675105,229.2702
CD1,4.785888,0.7666469,229.6125
CD1,4.807814,0.7649411,229.4047
CD1,4.800414,0.7683934,229.7366
CD1,4.820917,0.769767,229.6435
CD1,4.836699,0.7688777,229.6503
CD1,4.853877,0.7684127,229.9136
CD1,4.861548,0.7659611,230.0961
CD1,4.875399,0.7676862,230.0381
CD1,4.885773,0.7692034,230.1423
CD1,4.899595,0.7679348,230.4429
CD1,4.911449,0.770172,230.3264
CD1,4.928361,0.7682691,230.495
CD1,4.934869,0.7673069,230.0445
CD1,4.941876,0.7695827,230.6578
CD1,4.964301,0.7700349,230.614
CD1,4.976874,0.7696749,230.973
CD1,4.995418,0.768852,230.8101
CD1,5.007496,0.7689163,230.9349
CD1,5.014557,0.7702385,231.0181
CD1,5.02882,0.7696234,231.0528
CD1,5.04041,0.7705128,231.3187
CD1,5.053886,0.7720814,231.4169
CD1,5.064699,0.7692248,231.5974
CD1,5.078648,0.7701913,231.4577
CD1,5.090509,0.7703692,231.5257
CD1,5.104924,0.7703885,231.5694
CD1,5.11823,0.7710485,231.6811
CD1,5.130387,0.7705063,231.5782
CD1,5.142693,0.7718264,231.7999
CD1,5.156272,0.7717021,231.8428
CD1,5.167583,0.7717343,231.909
CD1,5.180521,0.7725336,231.9346
CD1,5.192369,0.7727479,232.0788
CD1,5.20708,0.77248,232.383
CD1,5.219866,0.7732729,232.4277
CD1,5.23251,0.7707549,232.5555
CD1,5.244901,0.7731079,232.5074
CD1,5.258526,0.773155,232.8578
CD1,5.270558,0.7724029,232.6221
CD1,5.281108,0.7720364,233.0411
CD1,5.29681,0.7736051,232.8797
CD1,5.308583,0.7723621,233.0349
CD1,5.321668,0.7734936,232.7969
CD1,5.333625,0.7737958,233.1564
CD1,5.347479,0.7733308,233.2867
CD1,5.359607,0.7740701,233.3688
CD1,5.373542,0.7739522,233.3523
CD1,5.383632,0.7742394,233.4577
CD1,5.398982,0.7739844,233.7216
CD1,5.408003,0.7744815,233.6235
CD1,5.424516,0.774848,234.0813
CD1,5.435666,0.7747173,233.8197
CD1,5.450576,0.7749594,233.9532
CD1,5.461609,0.7742072,234.0605
CD1,5.476465,0.7751887,234.381
CD1,5.489197,0.7756987,234.0995
CD1,5.500337,0.7739587,234.3182
CD1,5.514667,0.7740572,234.4378
CD1,5.529015,0.7754952,234.3516
CD1,5.537811,0.7756795,234.7251
CD1,5.549895,0.7743894,234.5482
CD1,5.56599,0.776168,234.6186
CD1,5.576812,0.774908,234.6005
CD1,5.587255,0.7759216,234.9651
CD1,5.607278,0.7749787,234.9808
CD1,5.614531,0.774338,235.1895
CD1,5.626532,0.7756987,234.9192
CD1,5.641661,0.7750901,235.3822
CD1,5.652872,0.7749916,235.4471
CD1,5.667464,0.7751544,235.494
CD1,5.684808,0.7747365,235.6495
CD1,5.697661,0.7747237,235.5253
CD1,5.713018,0.7757887,235.4777
CD1,5.719836,0.775508,235.4469
CD1,5.737481,0.7745415,235.6964
CD1,5.741166,0.7764166,235.8095
CD1,5.75593,0.7764102,236.0242
CD1,5.771544,0.7762409,235.9424
CD1,5.784052,0.7756066,236.2627
CD1,5.794719,0.7751544,236.2421
CD1,5.812129,0.775148,236.3208
CD1,5.822582,0.775763,236.2519
CD1,5.8406,0.7751287,236.5087
CD1,5.844296,0.7755273,236.4522
CD1,5.856701,0.7756259,236.5949
CD1,5.871482,0.7749851,236.4485
CD1,5.883188,0.7760459,236.9432
CD1,5.898652,0.7759538,236.9639
CD1,5.916613,0.7754373,237.0634
CD1,5.923292,0.7757823,236.8775
CD1,5.939124,0.7760309,236.9598
CD1,5.956739,0.7747751,237.0398
CD1,5.967498,0.7748287,237.1551
CD1,5.974864,0.7756516,237.2101
CD1,5.986458,0.7764638,237.2801
CD1,6.000024,0.7748544,237.4712
CD1,6.013679,0.7752401,237.2914
CD1,6.026262,0.7759002,237.5282
CD1,6.042917,0.7767188,237.5895
CD1,6.05161,0.7757695,238.0496
CD1,6.064119,0.7752787,237.8571
CD1,6.08182,0.7740572,238.0053
CD1,6.091285,0.7750516,237.7591
CD1,6.101649,0.7744751,238.0379
CD1,6.121235,0.7752937,238.0641
CD1,6.136152,0.7747494,238.3729
CD1,6.14877,0.7739329,238.181
CD1,6.15098,0.7745865,238.3071
CD1,6.168208,0.7741151,238.0299
CD1,6.177288,0.7751351,238.3419
CD1,6.192123,0.7739587,238.6196
CD1,6.205439,0.7751223,238.5249
CD1,6.21973,0.7742522,238.7567
CD1,6.231015,0.7747558,238.6917
CD1,6.249318,0.774338,238.8152
CD1,6.258878,0.7743958,238.6484
CD1,6.273528,0.7738086,238.911
CD1,6.28476,0.7742865,238.9261
CD1,6.298261,0.7735001,239.0986
CD1,6.310567,0.7737958,238.9712
CD1,6.32479,0.7733179,239.0966
CD1,6.336112,0.7729,239.366
CD1,6.35155,0.7737165,239.2173
CD1,6.363846,0.7734101,239.2527
CD1,6.376871,0.7729322,239.3227
CD1,6.387135,0.7736972,239.6212
CD1,6.401991,0.7735858,239.8449
CD1,6.413967,0.7723171,239.7615
CD1,6.429773,0.7718007,239.8067
CD1,6.439529,0.77188,240.1719
CD1,6.45532,0.7695442,239.9188
CD1,6.465413,0.7710614,240.1588
CD1,6.482429,0.7724864,240.0146
CD1,6.490859,0.7712649,240.1937
CD1,6.502794,0.7704271,240.0044
CD1,6.515708,0.7710228,240.3585
CD1,6.535857,0.7701142,240.3604
CD1,6.544596,0.7695184,240.6044
CD1,6.555767,0.7707871,240.2999
CD1,6.572377,0.7690406,240.1814
CD1,6.582901,0.7705513,240.0245
CD1,6.596549,0.7706563,240.4561
CD1,6.610775,0.7694391,240.5853
CD1,6.623102,0.7693406,240.5451
CD1,6.633168,0.7691134,240.6846
CD1,6.649415,0.7697349,240.8563
CD1,6.660793,0.7687727,241.0316
CD1,6.674265,0.7690856,240.9815
CD1,6.688012,0.7684384,240.9287
CD1,6.699588,0.7677848,240.6254
CD1,6.713165,0.7680205,241.0133
CD1,6.725719,0.7691198,240.9773
CD1,6.738303,0.7677398,241.2733
CD1,6.750883,0.7668097,241.1499
CD1,6.766618,0.7681384,241.2147
CD1,6.777761,0.7684577,241.1205
CD1,6.78912,0.7677462,241.3459
CD1,6.804663,0.7663597,241.3131
CD1,6.816681,0.7660983,241.4133
CD1,6.829595,0.7666019,241.6416
CD1,6.83932,0.7657125,241.6471
CD1,6.853073,0.7664711,241.6334
CD1,6.867026,0.7670262,241.6248
CD1,6.882554,0.766679,241.6105
CD1,6.893633,0.765869,241.6631
CD1,6.906757,0.7659933,241.881
CD1,6.919493,0.7651361,241.9259
CD1,6.933286,0.7655475,241.6695
CD1,6.946532,0.7637817,241.7347
CD1,6.958947,0.7643646,242.0384
CD1,6.968629,0.7637367,241.8301
CD1,6.98065,0.763861,241.968
CD1,6.995851,0.7635867,241.9942
CD1,7.014766,0.7621745,242.3992
CD1,7.022964,0.7634431,242.1579
CD1,7.037749,0.7625795,242.4246
CD1,7.04843,0.7626524,242.2395
CD1,7.062959,0.7612445,242.6617
CD1,7.076282,0.7605716,242.4665
CD1,7.086021,0.7610173,242.7541
CD1,7.102092,0.7613173,242.6803
CD1,7.11346,0.7610752,242.7491
CD1,7.127782,0.7596887,242.5868
CD1,7.141206,0.7596758,242.9221
CD1,7.151236,0.7587072,242.7166
CD1,7.164405,0.7590286,242.7661
CD1,7.183832,0.7587865,242.7681
CD1,7.196668,0.7587801,242.5724
CD1,7.201335,0.7583086,242.7346
CD1,7.214929,0.7597487,242.836
CD1,7.228558,0.758675,243.2035
CD1,7.243705,0.7586172,242.9121
CD1,7.257754,0.7581715,242.9826
CD1,7.270647,0.7571385,242.9686
CD1,7.282259,0.757145,242.9817
CD1,7.29479,0.7567721,242.9588
CD1,7.307089,0.7575628,242.9328
CD1,7.317794,0.7558763,243.2111
CD1,7.330175,0.7558892,243.4155
CD1,7.34581,0.7554842,243.2627
CD1,7.362377,0.7549399,243.4384
CD1,7.370508,0.7559813,243.3263
CD1,7.383468,0.7553127,243.3868
CD1,7.394153,0.7552999,243.5942
CD1,7.408361,0.7557263,243.5732
CD1,7.422349,0.7539541,243.7786
CD1,7.435555,0.7539991,243.6791
CD1,7.448868,0.7529726,243.8611
CD1,7.463689,0.7526319,243.6631
CD1,7.475042,0.7524305,244.0109
CD1,7.486963,0.7522397,243.8596
CD1,7.499792,0.7520897,244.0695
CD1,7.51288,0.752004,243.8116
CD1,7.525933,0.7522204,243.8779
CD1,7.540388,0.7514233,244.0345
CD1,7.554234,0.7518347,244.1424
CD1,7.567216,0.7496703,244.0779
CD1,7.579813,0.7502575,244.1518
CD1,7.591885,0.7495267,244.1664
CD1,7.605266,0.7486438,244.2643
CD1,7.616526,0.7484274,244.3224
CD1,7.631143,0.7490167,244.4265
CD1,7.642155,0.7491196,244.8271
CD1,7.65789,0.7480481,244.7176
CD1,7.667894,0.7476817,244.8351
CD1,7.682854,0.7460851,244.5509
CD1,7.697878,0.7468438,244.9604
CD1,7.702817,0.7451765,244.8463
CD1,7.724766,0.7459759,244.7199
CD1,7.734914,0.7449815,244.6862
CD1,7.743534,0.7464066,245.0445
CD1,7.763885,0.7446279,245.011
CD1,7.77654,0.7421357,245.1565
CD1,7.781591,0.7445829,245.0201
CD1,7.796034,0.7437129,245.1985
CD1,7.807903,0.74277,244.9678
CD1,7.821468,0.7435286,245.1963
CD1,7.83493,0.7423842,245.291
CD1,7.851814,0.7402006,245.3428
CD1,7.861837,0.7417885,245.4985
CD1,7.87379,0.7412528,245.3231
CD1,7.884022,0.7405734,245.4643
CD1,7.902634,0.7411156,245.2981
CD1,7.913205,0.7407427,245.5728
CD1,7.926607,0.7395598,245.6791
CD1,7.938611,0.7391548,245.8398
CD1,7.950561,0.7396841,245.6853
CD1,7.961512,0.739442,246.0379
CD1,7.981027,0.7374019,245.9141
CD1,7.990523,0.7378262,246.2527
CD1,8.005767,0.7368383,245.9416
CD1,8.014816,0.7370611,246.0156
CD1,8.028637,0.7360668,246.0321
CD1,8.039847,0.7361461,246.4391
CD1,8.056002,0.7351325,246.2393
CD1,8.066068,0.7348432,246.4867
CD1,8.082855,0.7349417,246.1595
CD1,8.091234,0.7336281,246.4401
CD1,8.106414,0.7341574,246.3731
CD1,8.114179,0.7347724,246.5537
CD1,8.132783,0.7330581,246.64
CD1,8.149212,0.733581,246.5343
CD1,8.152142,0.7331438,246.4618
CD1,8.165224,0.7321495,246.4258
CD1,8.179343,0.7327452,246.8864
CD1,8.192532,0.7326145,246.5172
CD1,8.213075,0.7313844,246.5217
CD1,8.215856,0.7308101,246.5267
CD1,8.232892,0.7307501,246.7703
CD1,8.245217,0.7294493,246.8131
CD1,8.262552,0.7295265,246.9393
CD1,8.273136,0.7289114,246.8378
CD1,8.282842,0.7302015,246.9017
CD1,8.294775,0.7291943,246.9881
CD1,8.310219,0.7291086,247.025
CD1,8.322965,0.7276578,246.9624
CD1,8.338372,0.7278593,246.9869
CD1,8.350864,0.7278464,246.9853
CD1,8.363735,0.7260549,247.2831
CD1,8.37506,0.7260484,247.0861
CD1,8.385833,0.7254077,247.2191
CD1,8.402254,0.7253413,246.9638
CD1,8.41529,0.7258984,247.0697
CD1,8.427766,0.7259756,247.2052
CD1,8.439524,0.7259049,247.2454
CD1,8.44917,0.7248248,247.1661
CD1,8.46675,0.7242226,247.1959
CD1,8.478903,0.7234319,247.1323
CD1,8.48919,0.7241048,247.4597
CD1,8.500329,0.7243212,246.9906
CD1,8.514509,0.722609,247.3528
CD1,8.530807,0.7224054,247.2836
CD1,8.536283,0.7235755,247.2046
CD1,8.554682,0.7228426,247.5073
CD1,8.568848,0.7214046,247.3671
CD1,8.582851,0.722084,247.3274
CD1,8.589943,0.7222811,247.1787
CD1,8.60773,0.7216082,247.4207
CD1,8.615302,0.7210061,247.3601
CD1,8.625663,0.7215889,247.4719
CD1,8.640135,0.7202925,247.6509
CD1,8.65806,0.7187174,247.6365
CD1,8.666347,0.7184816,247.5382
CD1,8.678376,0.7182009,247.7847
CD1,8.694125,0.7185395,247.6824
CD1,8.702672,0.7195081,247.952
CD1,8.720109,0.7182073,247.7307
CD1,8.734554,0.7179459,247.9524
CD1,8.74591,0.716448,248.0078
CD1,8.760596,0.7159251,248.1423
CD1,8.769907,0.7164866,248.1729
CD1,8.782981,0.7158137,248.3342
CD1,8.796094,0.7156101,248.2398
CD1,8.808863,0.7145965,248.4547
CD1,8.81843,0.7137736,248.3381
CD1,8.831989,0.7147808,248.42
CD1,8.847783,0.7143886,248.2584
CD1,8.861762,0.7136428,248.4634
CD1,8.874704,0.7128842,248.2657
CD1,8.884165,0.7132164,248.3614
CD1,8.89927,0.7116606,248.522
CD1,8.911611,0.7111506,248.6126
CD1,8.924348,0.7115556,248.5786
CD1,8.935188,0.7109277,248.5003
CD1,8.95002,0.7105677,248.5163
